var,coeff,sense
# Alpha generation - Expected excess returns (bp/day)
w_AAPL,15.2,max
w_MSFT,12.8,max
w_GOOGL,18.5,max
w_AMZN,14.1,max
w_TSLA,22.7,max
w_NVDA,28.3,max
w_META,16.9,max
w_NFLX,11.4,max
w_JPM,8.7,max
w_BAC,7.2,max
w_GS,9.8,max
w_MS,8.1,max
w_JNJ,5.3,max
w_PFE,4.8,max
w_UNH,6.7,max
w_PG,4.2,max
# Transaction costs - basis points
tc_AAPL,-0.8,max
tc_MSFT,-0.6,max
tc_GOOGL,-1.2,max
tc_AMZN,-0.9,max
tc_TSLA,-2.1,max
tc_NVDA,-1.8,max
tc_META,-1.1,max
tc_NFLX,-1.4,max
tc_JPM,-0.7,max
tc_BAC,-0.5,max
tc_GS,-0.9,max
tc_MS,-0.8,max
tc_JNJ,-0.4,max
tc_PFE,-0.3,max
tc_UNH,-0.6,max
tc_PG,-0.3,max
# Risk penalty - tracking error cost
risk_penalty,-25.0,max
